Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4AFZ17-101,23,4244,35017
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4AFZ17-301,23,4320,17497
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4ANZ17-301,23,4305,17462
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4TAP1704_4,23,4320,4285
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4,4TOX1702_4,23,4305,4255
24,HID-OHT-024,B03,2,HID-B03-2(024),1,HID,5,5,4326→4327; 4387→4360; 4387→4388; 4431→4339; 6140→4338,4366→4312; 4382→4383; 4382→4414; 4396→8470; 4397→4399,37,35,M14 Project Ph-1,ZC572A,HID4,,,,
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4AFZ18-001,25,4397,14918
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4AFZ18-101,25,4339,35018
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4AFZ18-144,25,4360,17594
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4AFZ18-301,25,4399,17612
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4AFZ18-337,25,4414,17648
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4EAS1801_2,25,4360,4437
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4,4EAS1801_3,25,4360,4436
